id,grupo_id,grupo_nombre,nombre,categoria,precio,variante,icono,sabores,ingredientes,imagen,imagen_alt,color_acento,orden,activo,estado_datos
aperol-spritz,aperol-spritz,Aperol Spritz,Aperol Spritz,Coctelería,70,,🍊,Agridulce|Cítrico|Burbujeante,Aperol|Vino espumante|Agua con gas|Naranja,assets/images/aperol-spritz.png,Aperol Spritz servido con naranja,#F2762E,10,TRUE,Confirmado
caipirinha,caipirinha,Caipirinha,Caipirinha,Coctelería,35,,🍋,Cítrico|Fresco|Dulce,Cachaça|Limón fresco|Azúcar,assets/images/caipirinha.png,Caipirinha con limón fresco,#B9D433,20,TRUE,Confirmado
chuflay,chuflay,Chuflay,Chuflay,Coctelería,45,,🍋,Cítrico|Fresco|Burbujeante,Singani|Ginger ale|Limón,assets/images/chuflay.png,Chuflay boliviano con limón,#E4C36A,30,TRUE,Confirmado
cuba-libre,cuba-libre,Cuba Libre,Cuba Libre,Coctelería,40,,🍋,Dulce|Cítrico|Refrescante,Ron dorado|Coca-Cola|Limón,assets/images/cuba-libre.png,Cuba Libre con limón,#7A3B1D,40,TRUE,Confirmado
daiquiri-frutilla,daiquiri,Daiquiri,Daiquiri de Frutilla,Coctelería,45,Frutilla,🍓,Frutal|Dulce|Cítrico,Ron blanco|Frutos rojos|Azúcar|Limón,assets/images/daiquiri-frutilla.png,Daiquiri de frutilla,#D93C57,50,TRUE,Confirmado
daiquiri-maracuya,daiquiri,Daiquiri,Daiquiri de Maracuyá,Coctelería,45,Maracuyá,🟡,Tropical|Dulce|Cítrico,Ron blanco|Maracuyá|Azúcar|Limón,assets/images/daiquiri-maracuya.png,Daiquiri de maracuyá,#F3B726,51,TRUE,Confirmado
daiquiri-pina,daiquiri,Daiquiri,Daiquiri de Piña,Coctelería,45,Piña,🍍,Tropical|Dulce|Cítrico,Ron blanco|Piña|Azúcar|Limón,assets/images/daiquiri-pina.png,Daiquiri de piña,#E7D34C,52,TRUE,Confirmado
fernet,fernet,Fernet,Fernet,Coctelería,40,,🌿,Herbal|Amargo|Intenso,Fernet Branca|Coca-Cola,assets/images/fernet.png,Fernet con Coca-Cola,#4A2B24,60,TRUE,Confirmado
gin-tonic-clasico,gin-tonic,Gin Tonic,Gin Tonic Clásico,Coctelería,60,Clásico,✦,Botánico|Cítrico|Refrescante,Gin|Agua tónica|Limón deshidratado,assets/images/gin-tonic-clasico.png,Gin tonic clásico con hielo,#DDE7F2,70,TRUE,Confirmado
gin-tonic-berry-fiesta,gin-tonic,Gin Tonic,Gin Tonic Berry Fiesta,Coctelería,65,Berry Fiesta,🫐,Frutal|Botánico|Burbujeante,Gin de frutos del bosque|Agua tónica|Cereza,assets/images/gin-tonic-berry-fiesta.png,Gin tonic Berry Fiesta de tono lavanda con una cereza,#B9A4D8,71,TRUE,Confirmado
gin-tonic-pepino,gin-tonic,Gin Tonic,Gin Tonic de Pepino,Coctelería,65,Pepino,🥒,Herbal|Botánico|Refrescante,Gin|Agua tónica|Pepino fresco,assets/images/gin-tonic-pepino.png,Gin tonic de pepino con hielo,#A9C89D,72,TRUE,Confirmado
limonada-electrica,limonada-electrica,Limonada Eléctrica,Limonada Eléctrica,Coctelería,35,,🍋,Cítrico|Dulce|Azul,Vodka|Blue curaçao|Sprite|Limón,assets/images/limonada-electrica.png,Limonada eléctrica azul,#2D64C8,80,TRUE,Confirmado
mega-berry-frutilla,mega-berry,Mega Berry,Mega Berry Frutilla,Coctelería,185,Frutilla,🍓,Frutal|Dulce|Intenso,Tequila|Triple sec|Cerveza Corona|Frutos rojos|Azúcar|Limón,assets/images/mega-frutilla.png,Mega Berry de frutilla,#CC3654,90,TRUE,Confirmado
